,owner,total
96,\xa1e3177a9b8f66947ccf5a3c2351c99e2145bf86,13
97,\x5970c01a20a6a5daffcb6c0c85d9473d7bd93c77,11
98,\xf8833fb265d2c803a16ec14c27bbd4fa0bc87b93,22
99,\x0f93a5955fdeebce19b07a5f6c7c7e5cca67dd92,30
100,\x2c72439a6d8341bd375fc8440ef762611714d9f2,11
101,\xa52899a1a8195c3eef30e0b08658705250e154ae,129
102,\x94cfa68a89d416531461b5d0c256efd293168504,11
103,\xc336266861e9f353e1700e2ee519906a25a9bfff,20
104,\x1b1ad8f7653bd80009b36f658151076f4639f6fc,19
105,\x1ab14911a1f736eb37c6ac2790ec325d4eab1f8e,22
106,\xb9c9cd73fc94861725173eb768b2f2ca0ee86dee,12
107,\x7ddba01cb6d0efb9183a2a95728c4573bb5ee196,13
108,\x35fa638779e4fb34473c811bf0c7d5cdd2ceb5b2,11
109,\x5f96a00cbc7551d8c4b14239212f8c08f0cfd00e,18
110,\x9b81c598e303499df75991075002c60472d4b6b5,40
111,\xc2a56c99a890e4c50c0ae22a077f409aab13420e,15
112,\x5df954729806f91bc1e72ae87142b639e9b1f7f2,31
113,\xb9c0ca7f74941578b122e1ac43b3aa3c51983213,25
114,\x4b982cfa30a7708989af7ba55c91584301a5e816,33
115,\xfcac36e60212b8541e3d88b062ff285561c9d31c,12
116,\x47aed18cb0ef1903f29553ee8caed25413750b94,11
117,\x43098f3c62b4f5e6d4292acbc51bb727c9c27894,18
118,\x6efd6c35854e89b0f479e7cbdff8b7c15e4ac0ba,41
119,\x9dabafdffb061837457e2cc8f0204e9ae113e87d,20
120,\x563415679588e508c0c8f0a729c9bf898406e9b5,21
121,\x76e6e1aef042f984dfb279a75f11adb3995b7e93,13
